trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.8851483685026271, 'e': 0.296386587399208}",25,13,1.8236640843272358,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.8842636625608209, 'e': 0.2934227215252159}",25,7,5.977238056602242,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.29048849430996376}",30,0,-36.83325532846934,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.2875836093668641}",20,10,-36.01991435420682,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.28470777327319546}",20,10,-29.102979069064464,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2818606955404635}",25,11,22.890419391364816,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.8798533791446438, 'e': 0.27904208858505886}",20,3,21.558602980355246,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.2762516676992083}",25,2,-22.997876568652345,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 1}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2734891510222162}",20,6,23.802181519319667,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.27075425951199406}",25,13,11.430616575495065,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.8763409950793734, 'e': 0.2680467169168741}",25,0,-29.417018274032444,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26536624974770534}",30,9,-16.9506708391551,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.2627125872502283}",20,0,-7.823061668446696,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.8737159116880344, 'e': 0.26008546137772603}",25,0,-35.272855947125635,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
136,False,"{'a': 0.8728426324887193, 'e': 0.25748460676394874}",20,7,16.225903511079323,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.2549097606963093}",25,13,19.96100119537134,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.2523606630893462}",20,0,-8.344178112237437,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
139,False,"{'a': 0.8702280284582516, 'e': 0.2498370564584527}",20,13,-20.73985134775264,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
